,Unnamed: 0.1,Unnamed: 0,simulation_dir,initial_pressure_points,mof_cif_name,cut_off,base_template_path,force_field,nunber_of_cycles,nunber_of_initial_cycles,adsorbate,temperature,molecule_definition,translation_probability,reinsertion_probability,swap_probability,raspa_dir,description
0,4780,9700,/home/dydtkddhkdwk/PYRASPA/Quick_Fitting_Algorithm/simulations/1006_ASOSUY_REPLAY,"[50000, 150000]",[CoreMOF]ASOSUY_clean.cif,12.5,/home/dydtkddhkdwk/PYRASPA/Quick_Fitting_Algorithm/base_templates/base_template_gcmc1005.txt,NayeonFollowup,200,0,N2,313.15,ExampleDefinitions,0.5,0.5,1,/home/dydtkddhkdwk/RASPA2,ASOSUY_replay
0,4780,9700,/home/dydtkddhkdwk/PYRASPA/Quick_Fitting_Algorithm/simulations/1006_ASOSUY_REPLAY,"[50000, 150000]",[CoreMOF]ASOSUY_clean.cif,12.5,/home/dydtkddhkdwk/PYRASPA/Quick_Fitting_Algorithm/base_templates/base_template_gcmc1005.txt,NayeonFollowup,10000,2000,N2,313.15,ExampleDefinitions,0.5,0.5,1,/home/dydtkddhkdwk/RASPA2,ASOSUY_replay
